task,method,seed,step,success_rate,mean_return,mean_steps
coffee_office,QRM,8,1700,1.0,0.9702990000000004,4.0
coffee_office,QRM,8,1800,1.0,0.9702990000000004,4.0
coffee_office,QRM,8,1900,1.0,0.9702990000000004,4.0
coffee_office,QRM,8,2000,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,9,100,0.3,0.23468741126529108,43.0
coffee_office,Q-learning,9,200,0.15,0.11809472372429716,46.45
coffee_office,Q-learning,9,300,0.75,0.645432136288424,25.35
coffee_office,Q-learning,9,400,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,9,500,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,9,600,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,9,700,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,9,800,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,9,900,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,9,1000,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,9,1100,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,9,1200,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,9,1300,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,9,1400,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,9,1500,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,9,1600,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,9,1700,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,9,1800,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,9,1900,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,9,2000,1.0,0.9702990000000004,4.0
coffee_office,QRM,9,100,0.3,0.23468741126529108,43.0
coffee_office,QRM,9,200,0.15,0.11809472372429716,46.45
coffee_office,QRM,9,300,0.75,0.645432136288424,25.35
coffee_office,QRM,9,400,1.0,0.9702990000000004,4.0
coffee_office,QRM,9,500,1.0,0.9702990000000004,4.0
coffee_office,QRM,9,600,1.0,0.9702990000000004,4.0
coffee_office,QRM,9,700,1.0,0.9702990000000004,4.0
coffee_office,QRM,9,800,1.0,0.9702990000000004,4.0
coffee_office,QRM,9,900,1.0,0.9702990000000004,4.0
coffee_office,QRM,9,1000,1.0,0.9702990000000004,4.0
coffee_office,QRM,9,1100,1.0,0.9702990000000004,4.0
coffee_office,QRM,9,1200,1.0,0.9702990000000004,4.0
coffee_office,QRM,9,1300,1.0,0.9702990000000004,4.0
coffee_office,QRM,9,1400,1.0,0.9702990000000004,4.0
coffee_office,QRM,9,1500,1.0,0.9702990000000004,4.0
coffee_office,QRM,9,1600,1.0,0.9702990000000004,4.0
coffee_office,QRM,9,1700,1.0,0.9702990000000004,4.0
coffee_office,QRM,9,1800,1.0,0.9702990000000004,4.0
coffee_office,QRM,9,1900,1.0,0.9702990000000004,4.0
coffee_office,QRM,9,2000,1.0,0.9702990000000004,4.0
visit_abcd,Q-learning,0,500,0.15,0.03363675721925671,192.8
visit_abcd,Q-learning,0,1000,0.1,0.013879220893043285,199.75
visit_abcd,Q-learning,0,1500,0.3,0.10307333778933185,173.2
visit_abcd,Q-learning,0,2000,0.5,0.13209912980700994,170.25
visit_abcd,Q-learning,0,2500,0.35,0.10288097898693709,175.5
visit_abcd,Q-learning,0,3000,0.4,0.09840741960319191,179.75
visit_abcd,Q-learning,0,3500,0.5,0.1924004502359546,155.3
visit_abcd,Q-learning,0,4000,0.7,0.2619952547076393,137.55
visit_abcd,Q-learning,0,4500,1.0,0.8600583546412889,16.0
visit_abcd,Q-learning,0,5000,1.0,0.8600583546412889,16.0
visit_abcd,Q-learning,0,5500,1.0,0.8600583546412889,16.0
visit_abcd,Q-learning,0,6000,1.0,0.8600583546412889,16.0
visit_abcd,Q-learning,0,6500,1.0,0.8600583546412889,16.0
visit_abcd,Q-learning,0,7000,1.0,0.8600583546412889,16.0
visit_abcd,Q-learning,0,7500,1.0,0.8600583546412889,16.0
visit_abcd,Q-learning,0,8000,1.0,0.8600583546412889,16.0
visit_abcd,Q-learning,0,8500,1.0,0.8600583546412889,16.0
visit_abcd,Q-learning,0,9000,1.0,0.8600583546412889,16.0
visit_abcd,Q-learning,0,9500,1.0,0.8600583546412889,16.0
visit_abcd,Q-learning,0,10000,1.0,0.8600583546412889,16.0
visit_abcd,QRM,0,500,0.7,0.2501150457993554,141.35
visit_abcd,QRM,0,1000,0.85,0.530912431845888,79.5
visit_abcd,QRM,0,1500,1.0,0.8600583546412889,16.0
visit_abcd,QRM,0,2000,1.0,0.8600583546412889,16.0
